transaction_id,payee_id,period,rule_id,base_amount,rate,commission_amount,notes
adj_P-101_2026-05,P-101,2026-05,manual_adjustment,-300.00,1,-300.00,Clawback: PL-0998 candidate resigned inside the 8-week guarantee
NW-1042,P-101,2026-05,placement_fee,18000.00,0.10,1800.00,18000 of this deal fell between 0% and 90% of quota -> 10.00%
NW-1087,P-101,2026-05,placement_fee,2000.00,0.10,200.00,2000.0 of this deal fell between 90% and 100% of quota -> 10.00%
NW-1087,P-101,2026-05,placement_fee,5200.00,0.15,780.00,5200.0 of this deal fell between 100% and 126% of quota -> 15.00%
NW-1087,P-102,2026-05,placement_fee,4800.00,0.10,480.00,4800.0 of this deal fell between 65% and 89% of quota -> 10.00%
NW-1130,P-102,2026-05,placement_fee,13000.00,0.10,1300.00,13000 of this deal fell between 0% and 65% of quota -> 10.00%
NW-1205,P-103,2026-05,placement_fee,9500.00,0.10,950.00,9500 of this deal fell between 0% and 95% of quota -> 10.00%
CT-3310,P-110,2026-05,gp_commission,8000.00,0.15,1200.00,8000.0 of this deal's gross profit fell between 0% and 100% of quota -> 15.00%
CT-3310,P-110,2026-05,gp_commission,1600.00,0.225,360.00,1600.0 of this deal's gross profit fell between 100% and 120% of quota -> 22.50%
CT-3457,P-110,2026-05,gp_commission,1500.00,0.225,337.50,1500.0 of this deal's gross profit fell between 120% and 139% of quota -> 22.50%
CT-3402,P-111,2026-05,gp_commission,5100.00,0.15,765.00,5100 of this deal's gross profit fell between 0% and 64% of quota -> 15.00%
CT-3457,P-111,2026-05,gp_commission,1500.00,0.15,225.00,1500.0 of this deal's gross profit fell between 64% and 82% of quota -> 15.00%
NW-1042,P-201,2026-05,override_passthrough,360.00,1.0,360.00,Flat rate 1.0 on 360.00
NW-1087,P-201,2026-05,override_passthrough,144.00,1.0,144.00,Flat rate 1.0 on 144.000
NW-1087,P-201,2026-05,override_passthrough,96.00,1.0,96.00,Flat rate 1.0 on 96.000
NW-1130,P-201,2026-05,override_passthrough,260.00,1.0,260.00,Flat rate 1.0 on 260.00
NW-1205,P-201,2026-05,override_passthrough,190.00,1.0,190.00,Flat rate 1.0 on 190.00
